Team,Bid Thief Count,Percentage
Mary Hardin-Baylor,201,20.1%
Roger Williams,194,19.4%
Chatham,191,19.1%
DePauw,189,18.9%
Mt. St. Mary,154,15.4%
Coe,132,13.2%
Hardin-Simmons,132,13.2%
SUNY New Paltz,121,12.1%
Endicott,114,11.4%
Simpson (Iowa),79,7.9%
York PA,55,5.5%
Shenandoah,47,4.7%
Calvin,36,3.6%
TX Lutheran,33,3.3%
Trinity (Texas),31,3.1%
Oswego St.,28,2.8%
Rhode Island College,25,2.5%
Brevard,22,2.2%
S Maine,21,2.1%
Denison,20,2.0%
Manhattanville,16,1.6%
Linfield,15,1.5%
Hamline,14,1.4%
Wittenberg,14,1.4%
Ohio Northern,13,1.3%
Widener,13,1.3%
Colby,11,1.1%
Geneseo St.,11,1.1%
Guilford,8,0.8%
Salisbury,6,0.6%
St. Vincent,5,0.5%
Marietta,5,0.5%
John Carroll,4,0.4%
Otterbein,4,0.4%
SUNY Oneonta,3,0.3%
Pomona-Pitzer,3,0.3%
George Fox,3,0.3%
McDaniel,3,0.3%
Wheaton (IL),3,0.3%
Framingham St.,3,0.3%
Luther,2,0.2%
Westfield St.,2,0.2%
Mt. Union,2,0.2%
Cal Lutheran,2,0.2%
Suffolk,2,0.2%
Concordia TX,2,0.2%
Puget Sound,2,0.2%
NC Wesleyan,2,0.2%
St. Benedict,2,0.2%
Middlebury,1,0.1%
Concordia Moorhead,1,0.1%
Susquehanna,1,0.1%
Coast Guard,1,0.1%
Allegheny,1,0.1%
Springfield,1,0.1%
Central IA,1,0.1%
Hartford,1,0.1%
St. John Fisher,1,0.1%
Westminster MO,1,0.1%
Howard Payne,1,0.1%
Occidental,1,0.1%
Salem MA,1,0.1%
Nazareth,1,0.1%
Redlands,1,0.1%
Babson,1,0.1%
