teamid,adjEm,adjT
1,-10.9,71.1
2,-35.0,81.5
3,7.4,76.1
4,-2.9,70.0
5,4.9,75.1
6,-2.4,74.2
7,-20.1,76.7
8,7.5,76.0
9,-1.2,71.4
10,-0.8,73.5
11,-41.8,80.1
12,25.5,70.2
13,0.1,76.8
14,-8.0,75.3
15,12.3,70.2
16,6.4,77.1
17,-12.1,71.9
18,4.0,73.4
19,12.8,75.8
20,-7.6,71.3
21,-19.2,77.7
22,22.0,69.9
23,31.4,72.4
24,-31.2,73.0
25,-4.5,79.0
26,28.1,72.9
27,4.8,80.7
28,-26.0,72.8
29,3.2,70.8
30,5.0,71.5
31,10.5,69.6
32,-1.8,77.4
33,6.7,72.3
34,28.1,73.4
35,-59.4,76.5
36,-1.8,69.0
38,41.1,68.6
39,20.0,73.1
40,7.4,72.2
41,14.7,78.8
42,27.1,68.2
43,18.2,82.6
44,1.3,79.4
45,-5.0,73.6
46,-21.4,72.2
47,-10.0,79.9
48,-18.0,75.4
49,-40.6,74.4
50,15.8,73.7
51,-7.0,71.8
52,17.9,70.5
53,21.4,73.4
54,-13.5,69.9
56,32.9,72.7
57,28.5,75.8
58,17.1,68.5
59,12.9,72.2
60,-8.5,81.6
61,39.2,74.6
62,-23.2,70.4
63,-28.7,77.6
64,-1.9,72.9
65,1.5,72.6
66,5.7,68.4
67,7.2,74.5
68,28.7,71.7
69,21.5,69.1
70,32.5,82.2
71,-51.0,77.8
72,0.7,70.7
73,9.5,78.2
74,-5.6,68.2
75,18.9,73.6
76,21.7,68.8
77,30.0,69.5
78,-21.8,76.5
79,19.9,66.2
80,27.0,70.0
81,-26.5,72.9
82,17.4,73.9
83,2.9,76.2
84,2.0,69.4
85,-4.0,70.8
86,29.1,70.3
87,-14.7,78.2
88,-33.3,72.2
89,12.4,71.6
90,-5.2,74.3
91,-25.5,75.8
92,-42.3,80.2
93,-12.1,75.1
94,19.0,72.0
95,30.9,68.0
96,9.6,70.4
97,16.3,71.0
98,-33.6,75.2
99,1.7,69.0
100,0.7,74.4
101,-1.8,67.7
102,-7.7,73.2
103,26.5,73.7
104,-13.0,74.5
105,-19.4,73.7
106,0.1,72.6
107,31.8,71.7
108,7.1,77.4
109,-9.0,71.3
110,-20.0,79.3
111,12.9,74.2
112,6.5,74.4
113,27.4,73.0
114,18.1,69.9
115,-0.0,80.7
116,0.1,74.8
117,-12.6,78.3
118,5.5,68.7
119,-33.2,82.1
120,-43.0,71.1
121,6.1,74.3
122,-29.8,78.3
123,12.9,70.1
124,4.9,75.8
125,-1.9,74.0
126,25.1,70.0
127,-6.0,84.9
128,11.2,69.6
129,39.9,70.6
130,-8.5,76.8
131,1.0,100.6
132,-36.9,74.3
133,-4.0,76.8
134,7.7,72.2
135,2.3,75.1
136,17.1,80.1
137,37.7,70.0
138,-12.7,75.2
139,19.1,72.3
140,21.5,68.8
141,15.8,74.8
142,23.3,76.3
143,-3.3,73.4
144,-19.7,70.5
145,5.5,68.6
146,-18.1,75.8
147,-11.9,71.6
148,-51.8,69.7
149,-2.4,72.8
150,-17.5,73.2
151,-5.1,74.5
152,-5.9,71.1
153,32.8,72.6
154,12.6,69.3
155,-15.5,74.5
156,8.6,75.6
157,-8.3,79.7
158,3.8,78.3
159,-20.9,75.7
160,37.4,75.9
161,-1.9,77.7
162,15.2,76.4
163,14.7,72.0
164,14.9,79.9
165,20.1,72.9
166,-14.9,76.3
167,41.6,73.2
168,1.1,75.2
169,-13.0,72.4
170,-0.5,71.5
171,0.9,72.1
172,-32.7,70.3
173,-26.6,72.0
174,-10.6,73.7
175,-16.6,71.2
176,10.2,80.7
177,14.0,73.5
178,-9.7,72.1
179,2.9,77.5
180,-17.2,76.6
181,-8.3,82.1
182,-12.2,74.2
183,-8.5,76.4
184,7.3,70.2
185,-13.0,74.6
186,21.5,68.4
187,-25.2,77.0
188,-40.9,74.6
189,-8.4,70.6
190,18.3,67.9
191,7.6,69.4
192,12.7,74.1
193,-16.1,74.4
194,1.1,73.1
195,-16.5,89.4
196,17.5,74.0
197,-3.3,74.9
199,31.4,80.5
200,3.1,70.6
201,-2.7,72.7
202,10.7,73.1
203,-78.9,80.2
204,-17.9,74.9
205,11.6,74.0
206,-4.1,73.3
207,1.4,74.6
208,1.2,70.6
209,-6.3,70.2
210,-13.9,69.8
211,22.5,66.8
212,21.9,71.0
213,-14.6,76.0
214,16.0,70.6
215,-37.3,76.5
216,-31.3,80.6
217,20.6,72.1
218,-21.4,70.8
219,30.9,67.8
220,2.9,72.2
221,28.2,69.6
222,1.8,71.1
223,15.2,73.5
224,2.5,67.6
225,-14.1,68.6
226,16.7,71.7
227,-41.2,77.0
228,-16.3,73.9
229,-20.0,75.9
230,18.1,74.7
231,-6.6,72.7
232,-16.7,72.7
233,-16.5,77.6
234,-3.6,77.0
235,-35.6,75.4
236,-48.3,74.4
237,11.0,73.9
238,23.0,71.0
239,1.6,74.2
240,12.8,71.8
241,3.2,72.2
242,-13.4,73.8
243,9.7,75.4
244,-25.2,73.2
245,-17.0,73.2
246,15.9,73.8
247,4.1,75.4
248,-27.8,73.7
249,6.8,71.0
250,-8.0,94.1
251,7.1,75.7
252,-12.2,75.7
253,-78.2,78.0
254,5.2,72.4
255,-13.1,74.0
256,-9.1,71.0
257,-59.4,72.9
258,-34.3,73.4
259,75.1,79.2
260,3.8,71.7
261,5.5,71.6
262,0.6,75.2
263,22.2,66.6
264,40.5,70.9
265,-63.6,74.6
266,-15.1,77.4
267,7.3,74.2
268,9.7,68.4
269,-2.6,70.0
270,1.9,72.4
271,-29.1,75.3
272,-9.3,68.7
273,-3.5,74.2
274,6.7,74.1
275,-35.7,78.5
276,-37.6,78.3
277,-0.2,71.5
278,-17.2,71.7
279,7.3,73.8
281,-7.0,75.0
282,5.0,78.8
283,-4.2,73.2
284,23.3,76.9
285,-43.9,77.5
287,3.6,72.0
288,4.1,72.4
289,-36.0,71.9
290,2.6,71.6
291,-26.2,72.2
292,6.6,70.4
293,24.7,67.6
294,13.4,74.2
295,-19.5,78.3
296,5.2,75.0
297,-9.0,71.7
298,24.4,72.5
299,25.6,70.0
300,8.4,74.9
301,2.2,74.0
302,25.3,75.0
303,12.1,67.4
304,-15.3,74.8
305,19.5,69.9
306,0.1,72.8
307,-61.0,73.1
308,17.5,73.3
309,-13.2,76.7
310,-12.6,76.6
311,-17.1,81.8
312,6.9,69.4
313,25.3,75.5
314,2.8,77.3
315,-36.3,75.7
316,1.6,70.5
317,7.6,75.0
318,-39.9,73.5
319,-10.9,78.6
320,59.0,68.0
321,-6.3,76.3
322,25.9,73.2
323,14.4,74.1
324,10.2,73.7
325,51.8,72.1
326,-8.8,69.4
327,19.0,68.0
328,14.3,70.5
329,6.9,73.8
330,-9.9,80.3
331,21.3,73.0
332,11.5,72.9
333,6.2,76.4
334,16.3,70.2
335,-12.4,79.8
336,9.3,74.3
337,-15.5,73.3
338,-2.1,74.5
339,2.9,70.3
340,19.7,68.7
341,-3.4,68.1
342,7.7,71.9
343,7.3,71.3
344,11.3,74.2
345,5.2,72.7
346,-0.5,75.2
347,6.1,75.2
350,-1.3,76.5
351,11.0,73.6
352,-71.3,77.1
353,-7.9,72.3
354,15.6,74.4
355,3.2,67.9
356,-25.8,71.8
357,-10.8,67.8
358,13.6,73.9
359,-6.6,70.4
360,5.3,70.5
361,-39.8,80.3
362,-21.4,75.2
363,23.0,66.8
364,32.2,69.6
365,31.3,74.3
366,-63.1,75.7
367,15.1,76.6
368,29.8,69.6
369,19.6,73.9
370,8.8,72.4
371,-4.7,68.3
372,11.9,72.4
373,2.0,66.3
374,17.5,73.4
376,-17.2,71.7
377,-10.5,72.6
378,-42.7,75.0
379,21.3,71.9
380,-12.9,75.9
381,22.1,67.3
382,-34.8,85.9
383,26.9,69.7
384,26.4,70.7
385,28.7,74.9
386,13.4,69.4
387,34.5,69.9
388,-5.8,76.6
389,14.2,78.7
390,-6.5,68.0
391,-27.6,73.1
392,9.0,74.1
393,-51.2,74.5
394,3.0,90.4
395,10.7,80.8
396,-23.1,73.7
397,14.2,70.5
398,3.2,75.5
399,39.5,70.2
400,12.6,71.0
401,-5.0,74.2
402,13.5,71.7
403,24.4,71.7
404,15.1,69.9
405,40.9,64.6
406,16.3,72.9
407,21.7,70.7
408,31.9,69.0
409,34.0,72.5
410,4.1,69.0
411,33.1,70.7
412,10.6,73.5
413,-28.4,74.5
414,-3.3,71.1
415,20.5,72.5
416,-2.8,74.6
417,-24.3,79.6
418,20.3,72.2
419,13.4,72.6
420,-23.2,73.1
421,-6.5,71.7
422,12.0,66.8
423,-17.9,73.2
424,-55.1,74.5
425,14.1,74.1
