Team,Ranking
NYU,1
Illinois Wesleyan,2
UW-Oshkosh,3
Gustavus Adolphus,4
Scranton,5
Bowdoin,6
UW-Stout,7
Smith,8
Whitman,9
UW-Whitewater,10
Hope,11
Baldwin Wallace,12
Trine,13
Ohio Wesleyan,14
Wartburg,15
Christopher Newport,16
Hardin-Simmons,17
Bethel,18
Gettysburg,19
UW-Stevens Point,20
WashU,21
Chicago,22
Carroll,23
Carnegie Mellon,24
Washington & Lee,25
UW-River Falls,26
Colorado Col,27
East Texas Baptist,28
UW-La Crosse,29
Johns Hopkins,30
Ohio Northern,31
Elizabethtown,32
DePauw,33
Catholic,34
Concordia Moorhead,35
Trinity (Conn),36
Middlebury,37
Tufts,38
MA Dartmouth,39
UT Dallas,40
TX Lutheran,41
Coe,42
Emory,43
Carthage,44
Capital,45
Transylvania,46
Linfield,47
John Carroll,48
Randolph-Macon,49
McMurry,50
Ripon,51
Rhode Island College,52
Mary Hardin-Baylor,53
St. Norbert,54
W New England,55
UW-Platteville,56
Messiah,57
Washington & Jefferson,58
George Fox,59
Whittier,60
Calvin,61
Hamline,62
St. Benedict,63
Trinity (Texas),64
Amherst,65
Marietta,66
Simpson (Iowa),67
Rochester,68
Bridgewater (VA),69
Wittenberg,70
Hanover,71
Springfield,72
Cortland,73
Bates,74
Webster,75
Wisconsin Lutheran,76
Loras,77
St. John Fisher,78
Hamilton,79
Wheaton (IL),80
Williams,81
Cal Lutheran,82
UW-Eau Claire,83
Denison,84
Luther,85
S Virginia,86
Babson,87
Colby,88
Mt. St. Joseph,89
Brandeis,90
Millsaps,91
Redlands,92
Roger Williams,93
Shenandoah,94
Vassar,95
Central IA,96
ME Maritime,97
MIT,98
Bridgewater MA,99
Case Western,100
Chatham,101
Millikin,102
Otterbein,103
Knox,104
Sul Ross,105
St. Catherine,106
Ithaca,107
Pacific,108
Puget Sound,109
Endicott,110
Occidental,111
Pomona-Pitzer,112
Franklin,113
SUNY New Paltz,114
Oberlin,115
Brockport St.,116
St. Joseph's ME,117
Aurora,118
Geneseo St.,119
Dickinson,120
Willamette,121
Coast Guard,122
TCNJ,123
Nazareth,124
St. Mary's MN,125
Augustana,126
Penn State-Behrend,127
St. Scholastica,128
Albion,129
Berry,130
Frank & Marsh,131
Dubuque,132
N Central IL,133
Lawrence,134
Chapman,135
Elmhurst,136
Mt. Union,137
Macalester,138
CT College,139
Susquehanna,140
McDaniel,141
Asbury,142
Westminster MO,143
Emerson,144
Montclair St.,145
Piedmont,146
UC Santa Cruz,147
Centre,148
U New England,149
Widener,150
Pac Lutheran,151
Whitworth,152
La Roche,153
St. Vincent,154
Allegheny,155
Berea,156
UW-Superior,157
DeSales,158
Guilford,159
Northwestern MN,160
Skidmore,161
Concordia TX,162
Union NY,163
Wilmington OH,164
Edgewood,165
Lebanon Val,166
Rose-Hulman,167
St. Thomas TX,168
Wm Paterson,169
Anderson IN,170
Alma,171
Muhlenberg,172
WPI,173
Washington MD,174
Framingham St.,175
SUNY Cobleskill,176
Rowan,177
Caltech,178
Wesleyan CT,179
Univ Ozarks,180
Grinnell,181
Ursinus,182
La Verne,183
Rochester Tech,184
St. Lawrence,185
Milwaukee Eng,186
Salve Regina,187
Immaculata,188
Swarthmore,189
St. Joseph CT,190
Grove City,191
LaGrange,192
Claremont-Mudd-Scripps,193
Cornell IA,194
Bluffton,195
St. Olaf,196
J&W RI,197
Arcadia,198
Emmanuel,199
Clark MA,200
Mary Washington,201
Westfield St.,202
Suffolk,203
Marymount,204
Concordia WI,205
Husson,206
Hartford,207
Albertus Magnus,208
Oglethorpe,209
Houghton,210
Martin Luther,211
York PA,212
Merchant Marine,213
S Maine,214
Roanoke,215
Oswego St.,216
Bethany WV,217
Muskingum,218
Benedictine IL,219
Stevens,220
Albright,221
New Jersey City,222
Rensselaer,223
Ferrum,224
Plattsburgh St.,225
Randolph Col,226
Alvernia,227
Greenville,228
Rhodes,229
Augsburg,230
SW Univ TX,231
Lewis & Clark,232
Austin Col,233
Eastern Connecticut,234
Bethany Luth,235
Principia,236
Manchester,237
Haverford,238
Lynchburg,239
Rivier,240
Kean,241
Brevard,242
Drew,243
Illinois Col,244
Mt. St. Mary,245
SUNY Oneonta,246
Neumann,247
Lakeland,248
Schreiner,249
NC Wesleyan,250
Belhaven MS,251
Salisbury,252
Wheaton MA,253
MN Morris,254
Adrian,255
Salem MA,256
Carleton,257
Buena Vista,258
Olivet MI,259
Geneva,260
Hiram,261
North Park,262
Sewanee,263
Keene St.,264
Lyon,265
LeTourneau,266
Hollins,267
Methodist,268
Manhattanville,269
Huntingdon,270
SUNY Canton,271
Stockton,272
Goucher,273
Nichols,274
Howard Payne,275
Stevenson,276
St. Mary's IN,277
Alfred,278
Waynesburg,279
MA Boston,280
Juniata,281
St. Joseph's LI,282
Moravian,283
Heidelberg,284
PSU-Harrisburg,285
Maryville TN,286
Lasell,287
Worcester St,288
Gordon,289
Curry,290
Castleton,291
SUNY Fredonia,292
Brooklyn Col,293
Hendrix,294
Earlham,295
Hunter,296
SUNY Potsdam,297
Clarkson,298
Eureka,299
PSU-Abington,300
Covenant,301
Wellesley,302
Lake Forest,303
Kalamazoo,304
Spalding,305
Marian WI,306
E Mennonite,307
Centenary NJ,308
Rockford,309
St. Mary's MD,310
Mt. Aloysius,311
Mt. St. Vincent,312
Gwynedd-Mercy,313
Gallaudet,314
Hood,315
Monmouth IL,316
PSU-Altoona,317
Hobart & Smith,318
Anna Maria,319
N Central MN,320
Misericordia,321
NE Wesleyan,322
Pfeiffer,323
Regis MA,324
Dallas Univ,325
Norwich,326
Elmira,327
Carlow,328
VA Wesleyan,329
Western Connecticut,330
Wooster,331
King's PA,332
MS Women,333
Eastern Univ,334
Hartwick,335
Sage,336
Buffalo St.,337
Utica,338
Westminster PA,339
Morrisville St.,340
Concordia IL,341
Colby-Sawyer,342
IL Tech,343
Lycoming,344
Delaware Val,345
Farmingdale,346
Kenyon,347
Beloit,348
ME Farmington,349
Marywood,350
Rutgers-Camden,351
Elms,352
Averett,353
Centenary,354
Baruch,355
St. Elizabeth,356
FDU Madison,357
N England Col,358
Notre Dame MD,359
Ramapo,360
Plymouth St.,361
Bryn Athyn,362
Lancaster Bib,363
Penn Col Tech,364
Bob Jones,365
Meredith,366
John Jay,367
Bryn Mawr,368
Crown MN,369
Peace,370
Thomas ME,371
SUNYIT,372
Greensboro,373
Keystone,374
Dominican IL,375
Fontbonne,376
Mitchell,377
Wilkes,378
Keuka,379
Rutgers-Newark,380
Pitt-Greensburg,381
Franciscan OH,382
St. Joseph's NY,383
Alfred St.,384
Wentworth Tech,385
NVU-Lyndon,386
Lehman,387
Wilson,388
ME Presque Isle,389
Bard,390
Warren Wilson,391
Alverno,392
Fitchburg St.,393
Agnes Scott,394
MA Col Lib Arts,395
Cedar Crest,396
Mt. Holyoke,397
Mt. Mary,398
Hilbert,399
Yeshiva,400
PSU-Brandywine,401
Pitt-Bradford,402
Sarah Lawrence,403
Dean,404
Summit,405
Thiel,406
Salem NC,407
Lesley,408
Wesleyan GA,409
Medgar Evers,410
Blackburn,411
Purchase,412
Valley Forge,413
Cairn,414
PSU-Berks,415
Northland,416
NVU-Johnson,417
City Col NY,418
Pratt Inst,419
Old Westbury,420
Trinity DC,421
York NY,422
Rosemont,423
Maranatha Bap,424
SUNY Delhi,425
