Team Name,Games,Wins,Qualifying Wins,Qualifying Losses,NPI,Rank,Old Rank,Rank Change
Emmanuel,2,2,2,0,63.90,1,1,0
MA Dartmouth,2,2,2,0,63.32,2,2,0
Mt. St. Joseph,2,2,2,0,62.96,3,3,0
Bridgewater MA,2,2,2,0,62.17,4,4,0
Messiah,3,3,3,0,62.17,5,5,0
Colorado Col,2,2,2,0,62.10,6,6,0
Washington & Lee,3,3,3,0,61.99,7,7,0
NYU,4,4,4,0,61.27,8,8,0
Smith,4,4,4,0,61.13,9,9,0
Webster,3,3,3,0,60.19,10,20,+10
SUNY Cobleskill,3,3,3,0,60.19,11,11,0
Amherst,2,2,2,0,60.15,12,12,0
SUNY Canton,2,2,2,0,60.02,13,13,0
Bowdoin,1,1,1,0,60.00,14,15,+1
Eureka,1,1,1,0,60.00,15,16,+1
UW-Whitewater,3,3,3,0,60.00,16,14,-2
Franklin,2,2,2,0,59.98,17,17,0
Linfield,3,3,3,0,59.87,18,10,-8
Rensselaer,4,3,3,1,59.62,19,18,-1
St. Lawrence,3,3,3,0,59.55,20,19,-1
Illinois Wesleyan,2,2,2,0,59.45,21,21,0
Ohio Wesleyan,3,3,3,0,59.44,22,22,0
Scranton,2,2,2,0,59.35,23,23,0
Whitman,5,5,5,0,59.29,24,24,0
Gustavus Adolphus,3,3,3,0,59.23,25,25,0
PSU-Abington,1,1,1,0,58.79,26,26,0
U New England,2,2,2,0,58.28,27,28,+1
Redlands,3,2,2,1,58.27,28,27,-1
Tufts,1,1,1,0,58.22,29,29,0
Elmhurst,3,3,3,0,58.19,30,31,+1
Catholic,3,3,3,0,58.14,31,30,-1
Chicago,4,4,4,0,57.73,32,32,0
UW-Oshkosh,4,4,4,0,57.64,33,33,0
Claremont-Mudd-Scripps,3,2,2,1,57.45,34,34,0
W New England,2,2,2,0,57.30,35,35,0
Ohio Northern,3,3,3,0,57.24,36,36,0
Berry,3,3,3,0,57.08,37,37,0
Colby,2,2,2,0,57.02,38,38,0
Albright,2,2,2,0,56.97,39,39,0
Lyon,3,3,3,0,56.95,40,40,0
Vassar,3,3,3,0,56.89,41,41,0
Clark MA,4,4,4,0,56.79,42,42,0
Centenary NJ,4,4,4,0,56.49,43,44,+1
Wartburg,3,3,3,0,56.49,44,43,-1
J&W RI,2,2,2,0,56.44,45,45,0
St. Norbert,3,3,3,0,56.42,46,46,0
Coast Guard,4,3,3,1,56.34,47,47,0
Immaculata,4,3,3,1,56.31,48,48,0
Hamilton,2,2,2,0,56.27,49,50,+1
Carnegie Mellon,4,4,4,0,56.19,50,51,+1
Transylvania,3,2,2,1,56.12,51,49,-2
Moravian,2,1,1,1,56.08,52,52,0
Coe,4,3,3,1,56.05,53,53,0
WashU,2,2,2,0,55.89,54,54,0
John Carroll,4,4,4,0,55.74,55,58,+3
UW-La Crosse,3,2,2,1,55.72,56,55,-1
Caltech,1,1,1,0,55.65,57,56,-1
Whittier,1,1,1,0,55.65,58,57,-1
Lebanon Val,3,2,2,1,55.61,59,59,0
Berea,2,2,2,0,55.58,60,60,0
Hollins,1,1,1,0,55.56,61,61,0
St. Joseph's LI,1,1,1,0,55.56,62,62,0
Brockport St.,3,2,2,1,55.50,63,64,+1
Emory,3,2,2,1,55.50,64,63,-1
PSU-Harrisburg,2,2,2,0,55.49,65,65,0
Guilford,3,3,3,0,55.48,66,66,0
Williams,2,2,2,0,55.42,67,68,+1
Manhattanville,2,2,2,0,55.41,68,69,+1
Hardin-Simmons,4,4,4,0,55.28,69,71,+2
Christopher Newport,4,4,4,0,55.27,70,70,0
Hanover,3,2,2,1,55.17,71,88,+17
Nichols,2,2,2,0,54.94,72,77,+5
Gettysburg,3,3,3,0,54.93,73,72,-1
Macalester,4,3,3,1,54.83,74,74,0
Wheaton (IL),3,2,2,1,54.72,75,73,-2
DeSales,4,3,3,1,54.60,76,75,-1
ME Maritime,3,2,2,1,54.57,77,76,-1
Asbury,3,2,2,1,54.54,78,163,+85
Augsburg,1,1,1,0,54.42,79,79,0
Rochester,4,3,3,1,54.42,80,78,-2
Colby-Sawyer,4,4,4,0,54.25,81,80,-1
McDaniel,4,3,3,1,54.20,82,81,-1
Montclair St.,3,3,3,0,54.12,83,82,-1
Washington & Jefferson,3,2,2,1,54.12,84,83,-1
N Central IL,3,2,2,1,54.01,85,84,-1
Arcadia,3,2,2,1,53.88,86,85,-1
Capital,2,2,2,0,53.74,87,86,-1
Elizabethtown,3,2,2,1,53.60,88,87,-1
Houghton,3,3,3,0,53.58,89,89,0
