Team,Conf,MedW,MedL,Tourn%,A%,C%,ALWYNI%,F-C%,SF-C%,QF-C%,Top4%,Top8%,Top16%,Med-NPI,Min,Max,Rank
Bowdoin,NESCAC,27.0,0.0,100.0%,80.0%,20.0%,100.0%,100.0%,-,-,100.0%,100.0%,100.0%,68.6,67.2,68.7,5
NYU,UAA,25.0,0.0,100.0%,100.0%,0.0%,0.0%,-,-,-,100.0%,100.0%,100.0%,68.4,68.2,68.7,22
Scranton,LAND,26.0,1.0,100.0%,60.0%,40.0%,100.0%,100.0%,100.0%,-,60.0%,100.0%,100.0%,66.4,64.5,66.9,27
Gustavus Adolphus,MIAC,26.0,1.0,100.0%,70.0%,30.0%,100.0%,100.0%,-,-,50.0%,80.0%,100.0%,65.4,63.9,66.0,14
Whitman,NWC,26.0,0.0,100.0%,100.0%,0.0%,0.0%,-,-,-,30.0%,100.0%,100.0%,65.4,65.1,65.5,35
Baldwin Wallace,OAC,26.0,1.0,100.0%,70.0%,30.0%,100.0%,100.0%,-,-,40.0%,100.0%,100.0%,65.3,64.0,65.6,2
Illinois Wesleyan,CCIW,26.0,1.0,100.0%,60.0%,40.0%,100.0%,100.0%,-,-,20.0%,80.0%,100.0%,65.3,64.0,65.6,15
UW-Oshkosh,WIAC,24.0,3.0,100.0%,70.0%,30.0%,100.0%,100.0%,100.0%,-,0.0%,80.0%,100.0%,64.9,63.1,65.1,36
Gettysburg,CC,25.0,2.0,100.0%,70.0%,30.0%,100.0%,100.0%,100.0%,-,0.0%,50.0%,100.0%,64.5,62.9,64.7,13
Smith,NEWMAC,26.0,2.0,100.0%,100.0%,0.0%,0.0%,-,-,-,0.0%,10.0%,100.0%,63.4,63.4,63.5,28
Randolph-Macon,ODAC,25.0,2.0,100.0%,10.0%,90.0%,100.0%,100.0%,100.0%,-,0.0%,0.0%,100.0%,63.0,62.7,64.4,24
Ohio Wesleyan,NCAC,25.0,2.0,100.0%,80.0%,20.0%,100.0%,100.0%,-,-,0.0%,0.0%,90.0%,62.6,61.4,62.9,23
Trine,MIAA,24.5,2.5,100.0%,50.0%,50.0%,100.0%,100.0%,100.0%,-,0.0%,0.0%,70.0%,62.3,61.0,63.0,29
East Texas Baptist,ASC,22.0,3.0,100.0%,90.0%,10.0%,100.0%,100.0%,-,-,0.0%,0.0%,70.0%,61.8,60.8,61.9,11
Johns Hopkins,CC,21.0,4.0,100.0%,30.0%,70.0%,100.0%,100.0%,100.0%,-,0.0%,0.0%,60.0%,61.6,60.8,63.0,16
Bethel,MIAC,22.0,5.0,100.0%,20.0%,80.0%,100.0%,100.0%,100.0%,-,0.0%,0.0%,50.0%,61.5,61.0,62.8,4
Christopher Newport,C2C,24.0,1.0,100.0%,100.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,10.0%,61.4,61.1,61.7,8
UW-Stout,WIAC,20.0,7.0,100.0%,30.0%,70.0%,100.0%,100.0%,100.0%,-,0.0%,0.0%,30.0%,61.3,60.7,62.5,37
Carnegie Mellon,UAA,19.0,5.0,100.0%,0.0%,100.0%,100.0%,-,-,-,0.0%,0.0%,0.0%,61.3,61.2,61.4,6
Elizabethtown,LAND,23.0,4.0,100.0%,10.0%,90.0%,100.0%,100.0%,100.0%,-,0.0%,0.0%,10.0%,61.2,60.5,62.7,12
Wartburg,ARC,25.0,2.0,100.0%,60.0%,40.0%,100.0%,100.0%,100.0%,-,0.0%,0.0%,0.0%,61.0,59.9,61.4,33
