Origin_School,Destination_School,Distance
Principia,Gallaudet,837
Principia,Calvin,453
Principia,UW-La Crosse,404
Principia,Montclair St.,961
Principia,Centre,374
Principia,St. Joseph CT,1094
Principia,Stevens,966
Gallaudet,Principia,837
Calvin,Principia,453
Centre,Principia,374
Montclair St.,Principia,961
Stevens,Principia,966
UW-La Crosse,Principia,404
St. Joseph CT,Principia,1094
Cal Lutheran,Bates,3158
Bates,Cal Lutheran,3155
Cal Lutheran,Bowdoin,3152
Bowdoin,Cal Lutheran,3151
Cal Lutheran,MA Dartmouth,3098
MA Dartmouth,Cal Lutheran,3091
Cal Lutheran,Endicott,3049
Endicott,Cal Lutheran,3049
Bates,Whitman,3047
Whitman,Bates,3047
Bowdoin,Whitman,3043
Whitman,Bowdoin,3043
Bridgewater MA,Cal Lutheran,3039
Cal Lutheran,Bridgewater MA,3039
Cal Lutheran,Tufts,3031
Tufts,Cal Lutheran,3031
MA Dartmouth,Whitman,3021
Whitman,MA Dartmouth,3021
Cal Lutheran,Amherst,2956
Amherst,Cal Lutheran,2955
Cal Lutheran,Smith,2950
Smith,Cal Lutheran,2949
Cal Lutheran,W New England,2947
W New England,Cal Lutheran,2947
Whitman,Endicott,2939
Endicott,Whitman,2937
St. Joseph CT,Cal Lutheran,2933
Cal Lutheran,Trinity (Conn),2933
Cal Lutheran,St. Joseph CT,2933
Trinity (Conn),Cal Lutheran,2933
Bridgewater MA,Whitman,2931
Whitman,Bridgewater MA,2931
Tufts,Whitman,2922
Whitman,Tufts,2922
Cal Lutheran,Vassar,2860
Vassar,Cal Lutheran,2859
Amherst,Whitman,2846
Whitman,Amherst,2846
Cal Lutheran,Merchant Marine,2844
Merchant Marine,Cal Lutheran,2844
Cal Lutheran,Mt. St. Mary,2841
Mt. St. Mary,Cal Lutheran,2840
Smith,Whitman,2839
Whitman,Smith,2839
W New England,Whitman,2837
Whitman,W New England,2837
Cal Lutheran,SUNY Cobleskill,2831
SUNY Cobleskill,Cal Lutheran,2831
Brooklyn Col,Cal Lutheran,2826
Cal Lutheran,Brooklyn Col,2825
St. Joseph CT,Whitman,2823
Trinity (Conn),Whitman,2823
Whitman,Trinity (Conn),2823
Whitman,St. Joseph CT,2823
Stevens,Cal Lutheran,2816
Cal Lutheran,NYU,2816
Cal Lutheran,Stevens,2816
NYU,Cal Lutheran,2816
Montclair St.,Cal Lutheran,2810
Cal Lutheran,Montclair St.,2810
Christopher Newport,Whitman,2757
Whitman,Christopher Newport,2757
Cal Lutheran,Cortland,2753
Cortland,Cal Lutheran,2753
Vassar,Whitman,2750
Whitman,Vassar,2747
Cal Lutheran,Scranton,2746
Scranton,Cal Lutheran,2745
Merchant Marine,Whitman,2743
Whitman,Merchant Marine,2743
Brooklyn Col,Whitman,2730
Whitman,Brooklyn Col,2730
Cal Lutheran,Christopher Newport,2729
Christopher Newport,Cal Lutheran,2729
Mt. St. Mary,Whitman,2728
NYU,Whitman,2722
Whitman,NYU,2722
Stevens,Whitman,2721
Whitman,Stevens,2721
Whitman,SUNY Cobleskill,2720
SUNY Cobleskill,Whitman,2720
Montclair St.,Whitman,2707
Whitman,Montclair St.,2707
Randolph-Macon,Whitman,2695
Whitman,Randolph-Macon,2695
Whitman,Mt. St. Mary,2693
Gallaudet,Cal Lutheran,2686
Cal Lutheran,Gallaudet,2686
Cal Lutheran,Johns Hopkins,2684
Johns Hopkins,Cal Lutheran,2684
Cal Lutheran,Catholic,2680
Catholic,Cal Lutheran,2680
Cal Lutheran,Elizabethtown,2668
Elizabethtown,Cal Lutheran,2668
Cal Lutheran,Randolph-Macon,2663
