Massey_id,Massey_Name,Scott_Name
1, Adrian,Adrian
2, Agnes_Scott,Agnes Scott
3, Albertus_Magnus,Albertus Magnus
4, Albion,Albion
5, Albright,Albright
6, Alfred,Alfred
7, Alfred_St,Alfred St.
8, Allegheny,Allegheny
9, Alma,Alma
10, Alvernia,Alvernia
11, Alverno,Alverno
12, Amherst,Amherst
13, Anderson_IN,Anderson IN
14, Anna_Maria,Anna Maria
15, Arcadia,Arcadia
16, Asbury,Asbury
17, Augsburg,Augsburg
18, Augustana_IL,Augustana
19, Aurora,Aurora
20, Austin_Col,Austin Col
21, Averett,Averett
22, Babson,Babson
23, Baldwin-Wallace,Baldwin Wallace
24, Bard,Bard
25, Baruch,Baruch
26, Bates,Bates
27, Belhaven_MS,Belhaven MS
28, Beloit,Beloit
29, Benedictine_IL,Benedictine IL
30, Berea,Berea
31, Berry,Berry
32, Bethany_Luth,Bethany Luth
33, Bethany_WV,Bethany WV
34, Bethel_MN,Bethel
35, Birmingham_So,Birmingham So
36, Blackburn,Blackburn
37, Bluffton,Bluffton
39, Bowdoin,Bowdoin
40, Brandeis,Brandeis
41, Brevard,Brevard
42, Bridgewater_MA,Bridgewater MA
43, Bridgewater_VA,Bridgewater (VA)
44, Brockport_St,Brockport St.
45, Brooklyn_Col,Brooklyn Col
46, Bryn_Athyn,Bryn Athyn
47, Bryn_Mawr,Bryn Mawr
48, Buena_Vista,Buena Vista
49, Buffalo_St,Buffalo St.
50, Cairn,Cairn
51, Cal_Lutheran,Cal Lutheran
52, Caltech,Caltech
53, Calvin,Calvin
54, Capital,Capital
55, Carleton_MN,Carleton
57, Carnegie_Mellon,Carnegie Mellon
58, Carroll_WI,Carroll
59, Carthage,Carthage
60, Case_Western,Case Western
61, Castleton,Castleton
62, Catholic,Catholic
63, Cedar_Crest,Cedar Crest
64, Centenary,Centenary
65, Centenary_NJ,Centenary NJ
66, Central_IA,Central IA
67, Centre,Centre
68, Chapman,Chapman
69, Chatham,Chatham
70, Chicago,Chicago
71, Chris_Newport,Christopher Newport
72, City_Col_NY,City Col NY
73, Claremont_M.S.,Claremont-Mudd-Scripps
74, Clark_MA,Clark MA
75, Clarkson,Clarkson
76, Coast_Guard,Coast Guard
77, Coe,Coe
78, Colby,Colby
79, Colby-Sawyer,Colby-Sawyer
80, College_of_NJ,TCNJ
81, Colorado_Col,Colorado Col
