team_name,team_id,avg_wins,total_wins,championships,championship_pct,final_four,final_four_pct,elite_eight,elite_eight_pct,sweet_sixteen,sweet_sixteen_pct,round_32,round_32_pct,round_64,round_64_pct
NYU,259,5.8,5829,976,97.6,989,98.9,996,99.6,998,99.8,1000,100.0,1000,100.0
Scranton,320,4.7,4749,821,82.1,876,87.6,951,95.1,982,98.2,995,99.5,1000,100.0
UW-Oshkosh,405,3.2,3220,101,10.1,591,59.1,706,70.6,824,82.4,997,99.7,1000,100.0
Smith,325,3.0,3009,57,5.7,116,11.6,885,88.5,959,95.9,990,99.0,1000,100.0
Bowdoin,38,3.3,3256,19,1.9,615,61.5,691,69.1,935,93.5,993,99.3,1000,100.0
Catholic,61,2.0,1958,7,0.7,132,13.2,354,35.4,589,58.9,876,87.6,1000,100.0
Illinois Wesleyan,160,2.3,2280,5,0.5,120,12.0,432,43.2,759,75.9,964,96.4,1000,100.0
Ohio Wesleyan,264,1.9,1852,5,0.5,7,0.7,40,4.0,820,82.0,980,98.0,1000,100.0
Gettysburg,129,2.5,2465,3,0.3,7,0.7,627,62.7,891,89.1,937,93.7,1000,100.0
WashU,387,0.7,720,2,0.2,25,2.5,52,5.2,114,11.4,527,52.7,1000,100.0
Johns Hopkins,167,2.3,2255,1,0.1,186,18.6,278,27.8,814,81.4,976,97.6,1000,100.0
UW-Stout,409,1.8,1760,1,0.1,48,4.8,145,14.5,655,65.5,911,91.1,1000,100.0
UW-Whitewater,411,1.2,1204,1,0.1,23,2.3,95,9.5,221,22.1,864,86.4,1000,100.0
Trinity (Conn),365,0.6,621,1,0.1,1,0.1,2,0.2,2,0.2,615,61.5,1000,100.0
Gustavus Adolphus,137,2.2,2240,0,0,117,11.7,535,53.5,727,72.7,861,86.1,1000,100.0
Whitman,399,2.0,2036,0,0,2,0.2,300,30.0,766,76.6,968,96.8,1000,100.0
East Texas Baptist,103,1.7,1692,0,0,0,0,1,0.1,711,71.1,980,98.0,1000,100.0
MA Dartmouth,199,1.4,1411,0,0,1,0.1,46,4.6,510,51.0,854,85.4,1000,100.0
Messiah,219,1.3,1318,0,0,0,0,46,4.6,424,42.4,848,84.8,1000,100.0
Carnegie Mellon,56,1.2,1232,0,0,24,2.4,165,16.5,423,42.3,620,62.0,1000,100.0
McMurry,212,1.1,1066,0,0,1,0.1,1,0.1,263,26.3,801,80.1,1000,100.0
Randolph-Macon,293,1.1,1060,0,0,4,0.4,60,6.0,271,27.1,725,72.5,1000,100.0
Christopher Newport,70,0.9,886,0,0,12,1.2,20,2.0,138,13.8,716,71.6,1000,100.0
Baldwin Wallace,23,0.9,946,0,0,14,1.4,74,7.4,241,24.1,617,61.7,1000,100.0
Trine,364,0.9,944,0,0,0,0,4,0.4,153,15.3,787,78.7,1000,100.0
W New England,381,0.9,896,0,0,0,0,16,1.6,69,6.9,811,81.1,1000,100.0
Cortland,86,0.8,778,0,0,0,0,3,0.3,54,5.4,721,72.1,1000,100.0
Ripon,299,0.8,754,0,0,10,1.0,75,7.5,136,13.6,533,53.3,1000,100.0
Elizabethtown,107,0.8,791,0,0,0,0,18,1.8,33,3.3,740,74.0,1000,100.0
S Virginia,313,0.8,760,0,0,23,2.3,98,9.8,259,25.9,380,38.0,1000,100.0
Tufts,368,0.8,799,0,0,0,0,42,4.2,180,18.0,577,57.7,1000,100.0
Carroll,57,0.7,699,0,0,18,1.8,45,4.5,165,16.5,471,47.1,1000,100.0
Bethel,34,0.7,722,0,0,10,1.0,29,2.9,154,15.4,529,52.9,1000,100.0
Wartburg,383,0.6,590,0,0,3,0.3,37,3.7,83,8.3,467,46.7,1000,100.0
Hope,153,0.6,566,0,0,9,0.9,22,2.2,62,6.2,473,47.3,1000,100.0
Chatham,68,0.6,553,0,0,8,0.8,33,3.3,129,12.9,383,38.3,1000,100.0
Colorado Col,80,0.5,479,0,0,0,0,10,1.0,46,4.6,423,42.3,1000,100.0
Bates,26,0.5,543,0,0,0,0,0,0,11,1.1,532,53.2,1000,100.0
Washington & Lee,385,0.5,480,0,0,0,0,5,0.5,7,0.7,468,46.8,1000,100.0
Bridgewater (VA),42,0.4,385,0,0,0,0,0,0,0,0,385,38.5,1000,100.0
Rhode Island College,298,0.3,266,0,0,0,0,1,0.1,5,0.5,260,26.0,1000,100.0
Merchant Marine,217,0.3,290,0,0,0,0,0,0,11,1.1,279,27.9,1000,100.0
Amherst,12,0.3,337,0,0,3,0.3,7,0.7,43,4.3,284,28.4,1000,100.0
TCNJ,79,0.3,327,0,0,0,0,5,0.5,47,4.7,275,27.5,1000,100.0
UW-Stevens Point,408,0.2,221,0,0,3,0.3,25,2.5,54,5.4,139,13.9,1000,100.0
Lebanon Val,186,0.2,182,0,0,0,0,1,0.1,35,3.5,146,14.6,1000,100.0
Washington & Jefferson,384,0.2,178,0,0,2,0.2,11,1.1,41,4.1,124,12.4,1000,100.0
Transylvania,363,0.2,239,0,0,0,0,0,0,26,2.6,213,21.3,1000,100.0
Bridgewater MA,41,0.2,192,0,0,0,0,0,0,3,0.3,189,18.9,1000,100.0
Millsaps,223,0.2,218,0,0,0,0,0,0,19,1.9,199,19.9,1000,100.0
ME Maritime,214,0.2,186,0,0,0,0,3,0.3,31,3.1,152,15.2,1000,100.0
St. Norbert,340,0.1,116,0,0,0,0,1,0.1,26,2.6,89,8.9,1000,100.0
Geneseo St.,126,0.1,104,0,0,0,0,4,0.4,37,3.7,63,6.3,1000,100.0
Capital,53,0.1,150,0,0,0,0,1,0.1,13,1.3,136,13.6,1000,100.0
Webster,389,0.0,43,0,0,0,0,0,0,7,0.7,36,3.6,1000,100.0
Immaculata,162,0.0,21,0,0,0,0,0,0,1,0.1,20,2.0,1000,100.0
Penn State-Behrend,284,0.0,5,0,0,0,0,0,0,0,0,5,0.5,1000,100.0
PSU-Abington,282,0.0,0,0,0,0,0,0,0,0,0,0,0,1000,100.0
St. Joseph's ME,334,0.0,13,0,0,0,0,0,0,3,0.3,10,1.0,1000,100.0
Hunter,156,0.0,7,0,0,0,0,0,0,0,0,7,0.7,1000,100.0
Belhaven MS,27,0.0,27,0,0,0,0,0,0,7,0.7,20,2.0,1000,100.0
Cal Lutheran,50,0.0,41,0,0,0,0,1,0.1,8,0.8,32,3.2,1000,100.0
Vassar,379,0.0,30,0,0,0,0,1,0.1,5,0.5,24,2.4,1000,100.0
Northwestern MN,254,0.0,3,0,0,0,0,0,0,0,0,3,0.3,1000,100.0
