SNYDER NAME,NAME NEEDED
York (Pa.),York (PA)
York (N.Y.),York (NY)
Yeshiva,Yeshiva
WPI,WPI
Worcester State,Worcester St.
Wooster,Wooster
William Paterson,William Paterson
Wittenberg,Wittenberg
Wisconsin Lutheran,Wisconsin Lutheran
Wilson,Wilson
Wilmington,Wilmington
Williams,Williams
Willamette,Willamette
Wilkes,Wilkes
Widener,Widener
Whitworth,Whitworth
Whittier,Whittier
Whitman,Whitman
Wheaton (Mass.),Wheaton (MA)
Wheaton (Ill.),Wheaton (IL)
Westminster (Pa.),Westminster (PA)
Westminster (Mo.),Westminster (MO)
Westfield State,Westfield St.
Western Connecticut,Western Connecticut
Wesleyan (Ga.),Wesleyan (GA)
Wesleyan,Wesleyan (CT)
Wentworth,Wentworth Tech
Wellesley,Wellesley
Webster,Webster
Waynesburg,Waynesburg
Washington U.,WashU
Washington College,Washington College
Washington and Lee,Washington & Lee
Washington and Jefferson,Washington & Jefferson
Wartburg,Wartburg
Warren Wilson,Warren Wilson
Western New England,Western New England
Vassar,Vassar
Valley Forge,Valley Forge
Virginia Wesleyan,Virginia Wesleyan
UW-Whitewater,UW-Whitewater
UW-Superior,UW-Superior
UW-Stout,UW-Stout
UW-Stevens Point,UW-Stevens Point
UW-River Falls,UW-River Falls
UW-Platteville,UW-Platteville
UW-Oshkosh,UW-Oshkosh
UW-La Crosse,UW-La Crosse
UW-Eau Claire,UW-Eau Claire
Utica,Utica
Ursinus,Ursinus
University of the Ozarks,Univ Ozarks
Union,Union (NY)
UC Santa Cruz,UC Santa Cruz
University of New England,University of New England
Texas Lutheran,Texas Lutheran
Tufts,Tufts
Trinity (D.C.),Trinity (DC)
Trinity (Texas),Trinity (TX)
Trinity (Conn.),Trinity (CT)
Trine,Trine
Transylvania,Transylvania
Thomas,Thomas (ME)
Thiel,Thiel
TCNJ,TCNJ
Swarthmore,Swarthmore
Southwestern,Southwestern
Susquehanna,Susquehanna
SUNYIT,SUNYIT
SUNY Potsdam,SUNY Potsdam
SUNY Oneonta,SUNY Oneonta
SUNY New Paltz,SUNY New Paltz
Fredonia,Fredonia
SUNY Delhi,SUNY Delhi
SUNY-Cobleskill,SUNY Cobleskill
SUNY-Canton,SUNY Canton
Suffolk,Suffolk
Stockton,Stockton
Stevenson,Stevenson
Stevens,Stevens
St. Vincent,St. Vincent
St. Thomas (Texas),St. Thomas (TX)
St. Scholastica,St. Scholastica
St. Olaf,St. Olaf
St. Norbert,St. Norbert
St. Marys (Minn.),St. Mary's (MN)
St. Marys (Md.),St. Mary's (MD)
St. Marys (Ind.),St. Mary's (IN)
St. Lawrence,St. Lawrence
St. Josephs (Bklyn.),St. Joseph's (NY)
St. Josephs (Maine),St. Joseph's (ME)
St. Josephs (L.I.),St. Joseph's (LI)
St. Joseph (Conn.),St. Joseph (CT)
St. John Fisher,St. John Fisher
St. Elizabeth,St. Elizabeth
St. Catherine,St. Catherine
St. Benedict,St. Benedict
Springfield,Springfield
Spalding,Spalding
Smith,Smith
Skidmore,Skidmore
Simpson,Simpson (IA)
Shenandoah,Shenandoah
Sewanee,Sewanee
Scranton,Scranton
Schreiner,Schreiner
Sarah Lawrence,Sarah Lawrence
Salve Regina,Salve Regina
Salisbury,Salisbury
Salem,Salem (NC)
Salem State,Salem St.
Sage,Sage
Southern Virginia,Southern Virginia
Southern Maine,Southern Maine
Rutgers-Newark,Rutgers-Newark
Rutgers-Camden,Rutgers-Camden
Rowan,Rowan
Rosemont,Rosemont
Rose-Hulman,Rose-Hulman
Roger Williams,Roger Williams
Rockford,Rockford
Rochester Tech,Rochester Tech
Rochester,Rochester
Roanoke,Roanoke
Rivier,Rivier
Ripon,Ripon
Rhodes,Rhodes
Rhode Island College,Rhode Island College
RPI,Rensselaer
Regis (Mass.),Regis
Redlands,Redlands
Randolph-Macon,Randolph-Macon
Randolph,Randolph Col
Ramapo,Ramapo
SUNY-Purchase,SUNY Purchase
Puget Sound,Puget Sound
Penn State-Harrisburg,PSU-Harrisburg
Penn State-Berks,PSU-Berks
Penn State-Altoona,PSU-Altoona
Penn State-Abington,Penn State-Abington
Principia,Principia
Pomona-Pitzer,Pomona-Pitzer
Plymouth State,Plymouth St.
Plattsburgh State,Plattsburgh St.
Pitt-Greensburg,Pitt-Greensburg
Pitt-Bradford,Pitt-Bradford
Piedmont,Piedmont
Pfeiffer,Pfeiffer
Penn State-Behrend,Penn State-Behrend
Penn College,Penn College
William Peace,Peace
Pacific,Pacific
Pacific Lutheran,Pac Lutheran
Otterbein,Otterbein
Oswego State,Oswego St.
Olivet,Olivet MI
SUNY-Old Westbury,Old Westbury
Ohio Wesleyan,Ohio Wesleyan
Ohio Northern,Ohio Northern
Oglethorpe,Oglethorpe
Occidental,Occidental
Oberlin,Oberlin
New York University,NYU
NVU-Lyndon,NVU-Lyndon
NVU-Johnson,NVU-Johnson
Notre Dame (Md.),Notre Dame (MD)
Norwich,Norwich
Northwestern (Minn.),Northwestern (MN)
Northland,Northland
North Park,North Park
Nichols,Nichols
New Jersey City,New Jersey City
Neumann,Neumann
Nebraska Wesleyan,Nebraska Wesleyan
N.C. Wesleyan,NC Wesleyan
Nazareth,Nazareth
New England College,New England College
North Central (Minn.),North Central (MN)
North Central (Ill.),North Central (IL)
Muskingum,Muskingum
Muhlenberg,Muhlenberg
Mount Union,Mt. Union
Mount St. Vincent,Mt. St. Vincent
Mount St. Mary,Mt. St. Mary
Mount St. Joseph,Mt. St. Joseph
Mount Mary,Mt. Mary
Mount Holyoke,Mt. Holyoke
Mount Aloysius,Mt. Aloysius
MUW,MUW
Morrisville State,Morrisville St.
Moravian,Moravian
Montclair State,Montclair St.
Monmouth,Monmouth IL
Minnesota-Morris,Minn-Morris
Mitchell,Mitchell
MIT,MIT
Misericordia,Misericordia
MSOE,MSOE
Millsaps,Millsaps
Millikin,Millikin
Middlebury,Middlebury
Methodist,Methodist
Messiah,Messiah
Meredith,Meredith
Merchant Marine,Merchant Marine
Medgar Evers,Medgar Evers
Maine-Presque Isle,Maine-Presque Isle
Maine Maritime,Maine-Maritime
Maine-Farmington,Maine-Farmington
McMurry,McMurry
McDaniel,McDaniel
Marywood,Marywood
Maryville (Tenn.),Maryville
Marymount,Marymount
Mary Washington,Mary Washington
Mary Hardin-Baylor,Mary Hardin-Baylor
Martin Luther,Martin Luther
