simulation_number,conference,round,team1_id,team2_id,team1_score,team2_score,winner_id
1,UEC,Quarterfinal,PSU-Harrisburg,Lancaster Bib,60,51,287
1,UEC,Quarterfinal,Notre Dame MD,Wilson,65,57,256
1,UEC,Quarterfinal,St. Elizabeth,Keystone,72,56,330
1,UEC,Quarterfinal,Bryn Athyn,Cedar Crest,79,31,45
1,NAC,Quarterfinal,Lesley,NVU-Lyndon,62,58,188
1,NAC,Quarterfinal,Husson,ME Farmington,77,64,158
1,NAC,Quarterfinal,ME Maritime,Thomas ME,69,45,214
1,NAC,Quarterfinal,SUNY Cobleskill,NVU-Johnson,92,30,351
1,E8,Quarterfinal,Brockport St.,Elmira,101,62,43
1,NJAC,Semifinal,Wm Paterson,New Jersey City,55,54,419
1,NESCAC,Quarterfinal,Bowdoin,Williams,71,46,38
1,HCAC,Quarterfinal,Anderson IN,Franklin,74,61,13
1,HCAC,Quarterfinal,Transylvania,Bluffton,58,52,363
1,HCAC,Quarterfinal,Hanover,Berea,66,53,141
1,NAC,Quarterfinal,ME Maritime,Husson,88,59,214
1,HCAC,Quarterfinal,Mt. St. Joseph,Rose-Hulman,72,61,237
1,UEC,Quarterfinal,PSU-Abington,Notre Dame MD,86,72,282
1,E8,Quarterfinal,Geneseo St.,Alfred,68,43,126
1,NESCAC,Quarterfinal,Amherst,Bates,61,51,12
1,NESCAC,Quarterfinal,Colby,Middlebury,100,97,77
1,CUNYAC,Semifinal,Brooklyn Col,Medgar Evers,66,34,44
1,E8,Quarterfinal,Nazareth,Sage,71,48,246
1,UEC,Quarterfinal,Gallaudet,PSU-Harrisburg,62,52,125
1,NJAC,Semifinal,Kean,Rowan,74,68,170
1,CUNYAC,Semifinal,John Jay,Lehman,67,51,166
1,UEC,Quarterfinal,St. Mary's MD,St. Elizabeth,64,63,338
1,NAC,Quarterfinal,SUNY Cobleskill,Lesley,104,41,351
1,E8,Quarterfinal,St. John Fisher,Houghton,72,55,331
1,UEC,Quarterfinal,Bryn Athyn,Penn Col Tech,51,47,45
1,NESCAC,Quarterfinal,Trinity (Conn),Tufts,72,64,365
1,SAA,Quarterfinal,Oglethorpe,Rhodes,79,69,262
1,SAA,Quarterfinal,Sewanee,Berry,72,66,321
1,SAA,Quarterfinal,Centre,Hendrix,76,67,66
1,AEC,Final,Marywood,Centenary NJ,77,73,210
1,CUNYAC,Semifinal,Brooklyn Col,Baruch,62,48,44
1,UEC,Quarterfinal,Gallaudet,PSU-Abington,95,85,125
1,CUNYAC,Semifinal,Hunter,John Jay,73,62,156
1,UEC,Quarterfinal,St. Mary's MD,Bryn Athyn,54,46,338
1,OAC,Semifinal,Capital,Marietta,70,55,53
1,CCIW,Semifinal,Millikin,Carthage,63,57,222
1,GNAC,Semifinal,Albertus Magnus,Anna Maria,82,62,3
1,AMCC,Semifinal,PSU-Altoona,Alfred St.,63,52,283
1,MIAC,Semifinal,St. Benedict,Concordia Moorhead,68,64,328
1,NACC,Quarterfinal,Wisconsin Lutheran,Edgewood,65,59,404
1,USAC,Quarterfinal,Brevard,Greensboro,103,31,40
1,ODAC,Quarterfinal,Washington & Lee,Guilford,87,54,385
1,MIAC,Semifinal,Hamline,St. Mary's MN,73,61,140
1,CNE,Semifinal,U New England,Hartford,63,38,370
1,NACC,Quarterfinal,St. Norbert,Lakeland,58,52,340
1,CC,Semifinal,Washington MD,McDaniel,45,40,386
1,NACC,Quarterfinal,Milwaukee Eng,Concordia WI,78,73,224
1,AMCC,Semifinal,Mt. Aloysius,Pitt-Bradford,74,33,234
1,CCS,Semifinal,Belhaven MS,Huntingdon,81,73,27
1,OAC,Semifinal,Otterbein,John Carroll,71,54,268
