simulation_number,team_name,wins,losses,npi_rank,got_auto_bid,got_at_large,made_tournament,made_top_4,made_top_8,made_top_16
1,Adrian,7,18,46.223194012358796,False,False,False,False,False,False
1,Agnes Scott,3,19,38.566405683306066,False,False,False,False,False,False
1,Albertus Magnus,17,9,54.02276216525283,False,False,False,False,False,False
1,Albion,12,15,49.94613006200594,False,False,False,False,False,False
1,Albright,13,12,50.988123585421654,False,False,False,False,False,False
1,Alfred,13,13,49.14248585563458,False,False,False,False,False,False
1,Alfred St.,6,18,41.1128291990961,False,False,False,False,False,False
1,Allegheny,18,7,53.38741381160218,False,False,False,False,False,False
1,Alma,10,16,48.3858403662237,False,False,False,False,False,False
1,Alvernia,12,12,50.42340619955191,False,False,False,False,False,False
1,Alverno,1,23,34.866026350470484,False,False,False,False,False,False
1,Amherst,19,7,59.087613513857804,False,True,True,False,False,False
1,Anderson IN,13,13,50.82846567515524,False,False,False,False,False,False
1,Anna Maria,14,11,49.775332335219865,False,False,False,False,False,False
1,Arcadia,18,9,53.36843472831254,False,False,False,False,False,False
1,Asbury,17,9,51.365807060359856,False,False,False,False,False,False
1,Augsburg,3,21,43.033257549096625,False,False,False,False,False,False
1,Augustana,10,15,49.797083895573856,False,False,False,False,False,False
1,Aurora,15,8,51.367306682572334,False,False,False,False,False,False
1,Austin Col,9,14,46.89551747742649,False,False,False,False,False,False
1,Averett,3,20,42.7565789224484,False,False,False,False,False,False
1,Babson,18,10,56.680446085498424,False,False,False,False,False,False
1,Baldwin Wallace,26,1,65.29503865655708,True,False,True,False,True,True
1,Bard,1,23,37.254111284252915,False,False,False,False,False,False
1,Baruch,14,11,48.30626549556173,False,False,False,False,False,False
1,Bates,16,8,58.707021493854604,False,True,True,False,False,False
1,Belhaven MS,17,10,50.698946897404014,False,False,False,False,False,False
1,Beloit,3,22,40.27978530051802,False,False,False,False,False,False
1,Benedictine IL,15,12,49.66249455117918,False,False,False,False,False,False
1,Berea,14,12,51.97162478236884,False,False,False,False,False,False
1,Berry,18,8,53.50979957860586,False,False,False,False,False,False
1,Bethany Luth,11,15,46.36549785145888,False,False,False,False,False,False
1,Bethany WV,12,13,47.718665862679465,False,False,False,False,False,False
1,Bethel,23,4,62.56669720795314,True,False,True,False,False,True
1,Blackburn,1,21,32.452637323907545,False,False,False,False,False,False
1,Bluffton,10,15,48.29777786979132,False,False,False,False,False,False
1,Bowdoin,27,0,68.69699833823555,True,False,True,True,True,True
1,Brandeis,12,13,54.78430885404831,False,False,False,False,False,False
1,Brevard,18,5,53.390007921456096,True,False,True,False,False,False
1,Bridgewater MA,19,5,58.668968643227984,True,False,True,False,False,False
1,Bridgewater (VA),21,5,57.01920495499419,False,False,False,False,False,False
1,Brockport St.,24,4,58.316039106399245,False,False,False,False,False,False
1,Brooklyn Col,17,11,49.66356303196308,True,False,True,False,False,False
1,Bryn Athyn,17,7,48.64957009332048,False,False,False,False,False,False
1,Bryn Mawr,6,18,44.422155048434206,False,False,False,False,False,False
1,Buena Vista,7,17,45.69907232695671,False,False,False,False,False,False
1,Buffalo St.,5,20,43.523782172885404,False,False,False,False,False,False
1,Cairn,1,21,33.443499864438834,False,False,False,False,False,False
1,Cal Lutheran,18,7,55.77384814270119,False,False,False,False,False,False
1,Caltech,7,13,47.46604663655802,False,False,False,False,False,False
1,Calvin,16,11,53.34835188531089,False,False,False,False,False,False
1,Capital,20,7,57.22261865576204,False,False,False,False,False,False
1,Carleton,3,22,43.01939599375733,False,False,False,False,False,False
